timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769249182028,168,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-2,text,true,,1836,210,18,18,https://www.wikipedia.org/wiki/Main_Page,168,0,0
1769249182197,2640,Main Page-1,200,OK,Thread Group 3: Custom 3-2,text,true,,232414,363,18,18,https://en.wikipedia.org/wiki/Main_Page,528,0,0
1769249182626,2288,Main Page,200,OK,Thread Group 3: Custom 3-18,text,true,,234250,573,17,17,https://en.wikipedia.org/wiki/Main_Page,323,0,0
1769249182626,323,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-18,text,true,,1836,210,17,17,https://www.wikipedia.org/wiki/Main_Page,323,0,0
1769249182949,1965,Main Page-1,200,OK,Thread Group 3: Custom 3-18,text,true,,232414,363,17,17,https://en.wikipedia.org/wiki/Main_Page,305,0,0
1769249183022,2078,Portal:Science,200,OK,Thread Group 3: Custom 3-16,text,true,,340692,845,16,16,https://en.wikipedia.org/wiki/Portal:Science,118,0,0
1769249183022,118,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-16,text,true,,1262,423,16,16,https://www.wikipedia.org/wiki/Portal:Science,118,0,0
1769249183141,1959,Portal:Science-1,200,OK,Thread Group 3: Custom 3-16,text,true,,339430,422,16,16,https://en.wikipedia.org/wiki/Portal:Science,359,0,0
1769249183825,1667,Main Page,200,OK,Thread Group 3: Custom 3-17,text,true,,234250,573,15,15,https://en.wikipedia.org/wiki/Main_Page,205,0,0
1769249183825,205,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-17,text,true,,1836,210,15,15,https://www.wikipedia.org/wiki/Main_Page,205,0,0
1769249184030,1462,Main Page-1,200,OK,Thread Group 3: Custom 3-17,text,true,,232414,363,15,15,https://en.wikipedia.org/wiki/Main_Page,342,0,0
1769249184052,1616,Main Page,200,OK,Thread Group 3: Custom 3-1,text,true,,234250,573,14,14,https://en.wikipedia.org/wiki/Main_Page,235,0,0
1769249184052,235,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-1,text,true,,1836,210,14,14,https://www.wikipedia.org/wiki/Main_Page,235,0,0
1769249184288,1380,Main Page-1,200,OK,Thread Group 3: Custom 3-1,text,true,,232414,363,14,14,https://en.wikipedia.org/wiki/Main_Page,236,0,0
1769249183464,2262,Main Page,200,OK,Thread Group 3: Custom 3-7,text,true,,234250,573,13,13,https://en.wikipedia.org/wiki/Main_Page,117,0,0
1769249183464,117,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-7,text,true,,1836,210,13,13,https://www.wikipedia.org/wiki/Main_Page,117,0,0
1769249183582,2144,Main Page-1,200,OK,Thread Group 3: Custom 3-7,text,true,,232414,363,13,13,https://en.wikipedia.org/wiki/Main_Page,358,0,0
1769249181528,4257,Portal:Science,200,OK,Thread Group 3: Custom 3-9,text,true,,340692,845,12,12,https://en.wikipedia.org/wiki/Portal:Science,142,0,0
1769249181528,142,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-9,text,true,,1262,423,12,12,https://www.wikipedia.org/wiki/Portal:Science,142,0,0
1769249181670,4115,Portal:Science-1,200,OK,Thread Group 3: Custom 3-9,text,true,,339430,422,12,12,https://en.wikipedia.org/wiki/Portal:Science,352,0,0
1769249183688,2465,Portal:Science,200,OK,Thread Group 3: Custom 3-10,text,true,,340692,845,11,11,https://en.wikipedia.org/wiki/Portal:Science,141,0,0
1769249183688,141,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-10,text,true,,1262,423,11,11,https://www.wikipedia.org/wiki/Portal:Science,141,0,0
1769249183830,2323,Portal:Science-1,200,OK,Thread Group 3: Custom 3-10,text,true,,339430,422,11,11,https://en.wikipedia.org/wiki/Portal:Science,293,0,0
1769249184574,1704,Main Page,200,OK,Thread Group 3: Custom 3-5,text,true,,234250,573,10,10,https://en.wikipedia.org/wiki/Main_Page,191,0,0
1769249184574,191,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-5,text,true,,1836,210,10,10,https://www.wikipedia.org/wiki/Main_Page,191,0,0
1769249184765,1513,Main Page-1,200,OK,Thread Group 3: Custom 3-5,text,true,,232414,363,10,10,https://en.wikipedia.org/wiki/Main_Page,313,0,0
1769249184140,2216,Portal:Science,200,OK,Thread Group 3: Custom 3-12,text,true,,340692,845,9,9,https://en.wikipedia.org/wiki/Portal:Science,198,0,0
1769249184140,198,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-12,text,true,,1262,423,9,9,https://www.wikipedia.org/wiki/Portal:Science,198,0,0
1769249184338,2018,Portal:Science-1,200,OK,Thread Group 3: Custom 3-12,text,true,,339430,422,9,9,https://en.wikipedia.org/wiki/Portal:Science,230,0,0
1769249184430,1984,Portal:Science,200,OK,Thread Group 3: Custom 3-19,text,true,,340692,845,8,8,https://en.wikipedia.org/wiki/Portal:Science,318,0,0
1769249184430,318,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-19,text,true,,1262,423,8,8,https://www.wikipedia.org/wiki/Portal:Science,318,0,0
1769249184748,1666,Portal:Science-1,200,OK,Thread Group 3: Custom 3-19,text,true,,339430,422,8,8,https://en.wikipedia.org/wiki/Portal:Science,304,0,0
1769249182937,3585,Main Page,200,OK,Thread Group 3: Custom 3-13,text,true,,234250,573,7,7,https://en.wikipedia.org/wiki/Main_Page,580,0,0
1769249182937,580,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-13,text,true,,1836,210,7,7,https://www.wikipedia.org/wiki/Main_Page,580,0,0
1769249183517,3005,Main Page-1,200,OK,Thread Group 3: Custom 3-13,text,true,,232414,363,7,7,https://en.wikipedia.org/wiki/Main_Page,457,0,0
1769249184095,2541,Main Page,200,OK,Thread Group 3: Custom 3-15,text,true,,234250,573,6,6,https://en.wikipedia.org/wiki/Main_Page,248,0,0
1769249184095,248,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-15,text,true,,1836,210,6,6,https://www.wikipedia.org/wiki/Main_Page,248,0,0
1769249184344,2292,Main Page-1,200,OK,Thread Group 3: Custom 3-15,text,true,,232414,363,6,6,https://en.wikipedia.org/wiki/Main_Page,316,0,0
